rendszam	tulajdonos	cim	marka	tipus	szin	motorcm3	forgalomba	megjegyzes	katalizator
KDR231	Gál Jolán	1111 Budapest Hordó u. 39.	Mazda	323	piros	1000	1995.05.11 0:00		1
KKY287	Szabó Dávid	1218 Budapest Szatmár u. 4.	Fiat	Cinquecento	sárga	800	1996.11.13 0:00		1
KPT658	Pipás Tamás	8000 Székesfehérvár Petőfi S. u. 42.	Toyota	Corolla	piros	1400	1998.04.17 0:00		1
LGS125	Kiss Tamás	1058 Budapest Múzeum krt. 11.	Seat	Cordoba	kék	1400	1995.07.15 0:00		1
LGT667	Gál Lóránt	7600 Pécs Völgy út 135.	Peugeot	405	bordó	1500	1998.02.11 0:00		1
LRP326	Szabó Dávid	1174 Budapest Vámház tér 4.	Suzuki	Baleno	piros	1200	1995.06.18 0:00		1
MHJ439	Zsák Ernő	1158 Budapest Jókai út 34.	Lancia	Delta	ezüst	1600	1993.11.15 0:00		0
MSH342	Nagy Ibolya	6800 Hódmezővásárhely Fő u.12.	Ford	Fiesta	piros	1200	1994.10.05 0:00		1
NFG628	Kiss Katalin	1102 Budapest Kőrösi Cs. u. 5.	Honda	Civic	bordó	1300	1998.05.06 0:00		1
NTU467	Tokodi József	1047 Budapest Harangvirág u. 8.	Tavria	1200	krém	1200	1993.04.07 0:00		0
OFR908	Kardos Ágnes	2000 Szentendre Állomás u. 8.	Suzuki	Sedan	piros	1600	1998.09.12 0:00		1
OGG639	Nagy Károly	1075 Budapest Rákóczi út 7. IV/12.	Polski Fiat	500	sárga	800	1980.10.25 0:00		0
PDR278	Istenhegyi Károly	1202 Budapest Szent Imre tér 5.	Toyota	Corolla	fekete	1500	1998.11.07 0:00		1
PMM087	Bakó Sándor	1213 Budapest Sav u. 4.	Renault	Twingo	sárga	900	1998.04.06 0:00		1
QMM386	Elek Tivadar	1048 Budapest Vas Gereben u. 8.	Opel	Astra	fehér	1600	1996.05.07 0:00		1
RDB921	Kovács Barbara	1072 Budapest Dohány u. 37.	Opel	Astra	piros	1300	1996.10.24 0:00		1
RRA497	Ákos Erzsébet	2000 Szentendre Megyeri út 67.	VW	Bogár	fekete	1300	1992.08.29 0:00		0
RRT153	Balogh Antónia	1073 Budapest Patak u. 9.	Lada	2105	okkersárga	1300	1998.04.16 0:00		0
SYE132	Kocsis Attila	1222 Budapest Háros u. 32.	Fiat	Punto	zöld	1100	1997.12.08 0:00	körözés alatt	1
TAT375	Szlávik János	1136 Budapest visegrádi u. 78.	Ford	Fiesta	fehér	1100	1993.09.16 0:00		0
UEN231	Kovács Tamás	2475 Kápolnásnyék Árpád út 22.	Ford	Orion	sötétkék	1600	1995.04.21 0:00		1
VHT517	Joó Sándor	1027 Budapest Keleti Károly u. 49.	Peugeot	306	kék	1500	1997.05.27 0:00	sérült	1
WRE425	Kovács István	4080 Debrecen Virág u. 7.	Audi	A6	fekete	2100	2000.01.21 0:00		1
XGT604	Németh Roland	1063 Budapest Munkácsy Mihály u.11.	BMW	625	sötétzöld	2500	1997.06.28 0:00		1
YGT632	Tóth Árpád	1213 Budapest Fő tér 12.	Trabant	601	barna	800	1978.11.08 0:00	lejárt forgalmi	0
ZHK122	Cipó Béla	2660 Balassagyarmat Sáfrány u. 21.	Suzuki	Swift	lila	1300	1996.04.23 0:00		1
ZRT856	Márton András	2030 Budaörs Bogár u. 3	VW	Golf	szürke	1400	1992.03.18 0:00		0
